,makespan,tardiness,throughput_op,throughput_j,flow_time,utilization,duration,n_decisions,instance,control_name
14307,12769.299856853,98.91532322261386,0.07831282930233031,0.007831282930233031,803.91,5610.4,13.706656694412231,-1,33768__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14310,9975.596333508396,132.70909078981708,0.10024463366074296,0.010024463366074298,871.69,5466.1,17.391709566116333,-1,33815__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14313,11539.073462705004,87.25754722286392,0.0866620706794234,0.008666207067942341,802.17,5560.4,14.67189335823059,-1,1094__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14316,12947.734737102563,83.20978206683202,0.07723358721077563,0.007723358721077563,773.69,5519.2,13.18099570274353,-1,66692__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14319,13152.086031060122,87.5579787926726,0.07603356590265516,0.007603356590265516,782.09,5567.6,14.008721113204956,-1,66746__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14322,13967.439465511074,59.819408939857844,0.07159508387125912,0.007159508387125912,729.26,5509.5,12.744352102279663,-1,1248__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14325,9586.438189965726,130.3140017665418,0.10431402990181647,0.010431402990181646,887.79,5575.711273899389,17.20029878616333,-1,1299__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14328,14509.962290918967,72.21926450290638,0.06891816670163561,0.006891816670163561,732.02,5485.1,12.033810138702393,-1,66879__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14331,9929.919440403646,115.28572294689327,0.10070575154226534,0.01007057515422653,854.19,5498.3,17.213871479034427,-1,1384__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14334,11283.133560074275,93.2117961831618,0.08862786163752698,0.008862786163752698,797.36,5497.8,14.612637042999268,-1,66963__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14337,10840.56733477456,105.77006221129714,0.09224609461095107,0.009224609461095108,840.66,5606.5,14.973844528198242,-1,67009__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14340,10880.58796384308,99.6412572216024,0.09190679798950817,0.009190679798950815,812.1,5497.1,15.14365530014038,-1,67063__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14343,12123.677138439294,90.67429255946264,0.0824832258877468,0.008248322588774679,805.09,5609.5,14.001302003860474,-1,67117__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14346,11603.688855513592,113.6186597088504,0.08617949106114142,0.008617949106114143,833.27,5578.6,15.046005249023438,-1,34388__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
14349,9741.295786897885,204.11948768274934,0.1026557474360862,0.010265574743608622,986.08,5634.3,18.638999700546265,-1,1677__benchmarks/jssp_all/10_10 __orb10__lb944_ub944,CP3
