Wall time,Step,Value
1659092782.2256072,8002,74.4468002319336
1659092803.9577377,9362,74.7033462524414
1659092897.533587,13667,73.44867706298828
1659092910.494533,14377,73.6999282836914
1659092961.166707,16004,73.74542236328125
1659092981.7479682,17268,71.97115325927734
1659093004.6363895,18736,72.66197204589844
1659093049.1097505,20005,71.96539306640625
1659093075.5431573,21707,69.67982482910156
1659093088.3671947,22459,70.21562194824219
1659093101.3635752,23210,68.49034118652344
1659093197.220253,27572,67.28650665283203
1659093406.643491,36009,66.75606536865234
1659093426.1070485,37105,65.72457122802734
1659093462.4881368,39284,65.52669525146484
1659093531.9406803,42205,69.03050994873047
1659093554.666983,43701,66.7752685546875
1659093601.3554432,45130,68.50391387939453
1659093638.4085639,47377,68.65673828125
1659093671.4162996,48012,71.63420867919922
1659093709.687919,50272,72.57645416259766
1659093761.361342,52013,74.47831726074219
1659093779.3425264,53075,73.7376708984375
1659093850.1261244,56014,76.7511978149414
1659093873.5439742,57471,75.55765533447266
1659093887.4417634,58231,78.6845932006836
1659093910.7646427,59639,76.25662231445312
1659093940.6536279,60015,79.70979309082031
1659093995.366262,63286,77.50870513916016
1659094029.8896549,64016,80.49896240234375
1659094066.2863905,66198,82.51536560058594
1659094119.8827536,68017,83.54314422607422
1659094138.5094182,69057,82.30403900146484
1659094161.9104288,70524,84.88113403320312
1659094175.2360947,71246,83.18025207519531
1659094246.4078658,74145,87.6817626953125
1659094269.4985487,75557,86.39479064941406
1659094299.4603038,76019,88.64018249511719
1659094315.848593,77012,86.4084243774414
1659094350.7065144,79210,87.45143127441406
1659094419.8556716,82212,89.74164581298828
1659094526.6835098,87386,90.49578094482422
1659094559.308046,88022,92.47383117675781
1659094583.438003,89528,91.6268310546875
1659094596.5583835,90255,94.8278579711914
1659094619.202149,91700,94.12731170654297
1659094646.8693776,92023,96.248779296875
1659094757.9243374,97501,97.08134460449219
1659094936.0289714,105541,100.93084716796875
1659095000.705648,108027,103.05367279052734
1659095020.9829617,109224,102.11299896240234
1659095177.9868789,116029,106.77618408203125
1659095234.7016594,119431,107.64128875732422
1659095292.129143,121604,107.5718002319336
1659095305.287449,122304,108.78014373779297
1659095318.382682,123030,107.44978332519531
1659095413.168822,127483,108.75741577148438
1659095444.2859044,128032,109.82501983642578
1659095470.1835468,129690,108.98501586914062
1659095532.5677943,132033,112.42884826660156
1659095552.7874918,133282,111.79478454589844
1659095621.666545,136034,113.62991333007812
1659095708.686494,140035,115.6488265991211
1659095752.279388,142715,115.81288146972656
1659095798.4069476,144036,115.74954986572266
1659095823.5902405,145610,114.53400421142578
1659095837.1240668,146291,116.06462097167969
1659095851.6101558,147069,115.10894012451172
1659095946.5971844,151424,116.22955322265625
1659096003.459105,153571,117.5013198852539
1659096068.8852804,156039,119.61579895019531
1659096086.7903621,157144,119.38856506347656
1659096109.4932761,158587,119.96373748779297
1659096136.3321154,160039,120.48726654052734
1659096180.195486,161459,120.44535827636719
1659096193.2444534,162202,121.03668975830078
1659096264.0852437,165105,122.95618438720703
1659096301.059021,167277,123.49275970458984
1659096336.4572334,168042,123.68897247314453
1659096371.5443897,170164,125.49063873291016
1659096395.1881075,171566,125.24239349365234
1659096467.1506877,174523,128.25559997558594
1659096576.7992601,179671,124.9609603881836
1659096606.7326708,180045,124.01622772216797
1659096625.3462498,181102,123.00678253173828
1659096661.5644894,183340,122.60090637207031
1659096694.8183453,184046,123.65670776367188
1659096730.763196,186359,124.73834991455078
1659096779.9410338,188047,124.93470764160156
1659096800.276887,189317,124.94880676269531
1659096813.0095892,190029,125.62229919433594
1659096835.4908502,191453,127.35519409179688
1659096892.4083438,193669,126.78209686279297
1659096906.575534,194386,126.42027282714844
1659097074.2723112,201595,126.49376678466797
1659097159.6580548,205290,128.93258666992188
1659097253.3386054,209715,127.08028411865234
1659097266.0351312,210485,125.94448852539062
1659097279.5444818,211234,124.39358520507812
1659097372.2050622,215535,126.21326446533203
1659097442.7879972,218432,127.65153503417969
1659097513.9264903,221359,129.86412048339844
1659097527.2711468,222092,129.85401916503906
1659097598.4518318,225015,128.9403533935547
1659097621.9219134,226450,128.79193115234375
