Wall time,Step,Value
1659059648.0640497,3002,40503.00390625
1659059745.8725429,4001,39647.0625
1659059845.2678936,5013,37539.83984375
1659059937.328509,6011,9196.87890625
1659060035.3752844,7008,8746.390625
1659060132.4894247,8002,4603.77197265625
1659060227.282623,9001,3842.83349609375
1659060323.8594706,10005,2823.160400390625
1659060418.7649345,11006,2618.004150390625
1659060516.0938735,12003,1987.6802978515625
1659060612.590409,13007,1822.8333740234375
1659060707.6998785,14018,1838.635498046875
1659060798.2278554,15007,1806.5439453125
1659060895.2573225,16004,1812.0404052734375
1659060984.5512323,17007,1634.537353515625
1659061076.1177356,18009,1565.9610595703125
1659061165.296478,19017,1505.19580078125
1659061259.1124258,20005,1345.739990234375
1659061348.7978585,21007,1305.1796875
1659061438.0584452,22013,1275.1690673828125
1659061526.1172864,23003,1210.1444091796875
1659061618.7638156,24003,1418.5528564453125
1659061712.5804288,25017,1428.1678466796875
1659061801.2232692,26016,1305.2440185546875
1659061889.0516186,27006,1239.0457763671875
1659061975.0392282,28006,1351.9208984375
1659062067.8364055,29011,1425.8082275390625
1659062156.4287426,30005,1353.70556640625
1659062243.4759436,31016,1128.7923583984375
1659062327.658424,32003,1191.058349609375
1659062413.6180887,33011,1134.444580078125
1659062498.845327,34005,1080.329833984375
1659062580.4412415,35005,1070.2093505859375
1659062662.155915,36001,1243.0701904296875
1659062750.407158,37016,1182.0584716796875
1659062830.0919626,38007,1252.00341796875
1659062908.1700466,39005,1185.985595703125
1659062990.5434992,40010,1190.046630859375
1659063070.1366055,41004,1140.71875
1659063149.852182,42008,1315.2586669921875
1659063228.3297284,43016,1230.9354248046875
1659063309.4733717,44011,1290.87841796875
1659063389.9170387,45009,1248.1082763671875
1659063465.4497406,46001,1397.352783203125
1659063540.7686372,47019,1338.8037109375
1659063616.0751932,48009,1490.448974609375
1659063693.4658158,49012,1410.7735595703125
1659063771.75465,50006,1416.5076904296875
1659063848.4360082,51008,1343.3052978515625
1659063923.7109575,52011,1397.8626708984375
1659064002.1970847,53011,1413.5186767578125
1659064077.8973136,54026,1438.375
1659064153.9253237,55018,1382.291259765625
1659064230.3842247,56014,1512.56591796875
1659064304.4301665,57014,1419.177001953125
1659064380.3137743,58023,1431.9915771484375
1659064452.030307,59004,1394.756591796875
1659064527.008971,60005,1367.3544921875
1659064606.1063232,61013,1305.4359130859375
1659064682.0468585,62018,1428.9527587890625
1659064751.3735473,63009,1342.272705078125
1659064827.8076417,64016,1306.109130859375
1659064899.9941852,65006,1235.83203125
1659064971.8648336,66026,1242.0145263671875
1659065045.1380448,67024,1177.31640625
1659065114.4656696,68015,1326.57080078125
1659065187.0100245,69002,1255.0146484375
1659065258.4067018,70011,1369.048095703125
1659065329.4043965,71006,1277.2532958984375
1659065402.5862212,72014,1399.8253173828125
1659065473.4897716,73003,1310.7119140625
1659065545.2405238,74024,1405.0799560546875
1659065616.2028446,75020,1315.8045654296875
1659065684.72683,76004,1344.6116943359375
1659065758.452454,77016,1345.15380859375
1659065828.182715,78004,1404.0611572265625
1659065898.6006138,79012,1331.842041015625
1659065970.2649477,80014,1395.0252685546875
1659066044.4576917,81004,1308.0965576171875
1659066114.208131,82018,1394.18212890625
1659066185.2246165,83021,1343.4964599609375
1659066253.9050026,84007,1398.1295166015625
1659066326.8367512,85015,1278.6065673828125
1659066396.8342984,86021,1378.5574951171875
1659066462.581912,87001,1296.685302734375
1659066530.6568406,88021,1427.7396240234375
1659066600.7658684,89017,1328.5328369140625
1659066665.7038183,90018,1403.0146484375
1659066732.9091318,91008,1396.26318359375
1659066805.7292027,92023,1478.2298583984375
1659066872.5668626,93005,1391.0357666015625
1659066939.9954598,94019,1475.4139404296875
