Wall time,Step,Value
1659059252.8527844,3008,93719.765625
1659059395.066255,4001,95242.4140625
1659059537.1755998,5006,96836.5625
1659059677.1915364,6003,95274.046875
1659059818.321486,7004,96062.65625
1659059962.6442764,8002,95297.1796875
1659060104.222441,9008,97593.703125
1659060244.4867475,10007,96836.1015625
1659060386.2479277,11008,91351.5390625
1659060527.788755,12003,94468.828125
1659060665.6911294,13007,95273.7421875
1659060802.0606585,14005,93695.4921875
1659060938.9358585,15008,93648.8359375
1659061077.9103708,16004,90523.8984375
1659061214.1707153,17010,88226.9296875
1659061348.4294374,18001,94468.9375
1659061483.4153285,19003,93641.0
1659061616.8266423,20001,96031.3125
1659061750.884111,21004,93718.8125
1659061885.8805287,22008,90578.28125
1659062019.6308002,23002,86586.265625
1659062155.9751327,24006,88945.5390625
1659062288.686451,25007,88203.28125
1659062418.310976,26004,88914.15625
1659062547.9175398,27002,94413.875
1659062682.4911697,28007,93617.15625
1659062810.7688158,29005,88968.578125
1659062946.7088637,30002,91257.796875
1659063085.0290256,31001,88930.0
1659063228.0695615,32008,89640.421875
1659063367.8578594,33007,89742.296875
1659063512.118122,34001,88984.25
1659063654.8960493,35004,88992.140625
1659063795.9397604,36004,91312.4921875
1659063942.1071122,37010,90554.3984375
1659064084.634147,38002,94468.28125
1659064227.5088086,39007,97593.03125
1659064371.6622136,40008,93710.328125
1659064519.493283,41007,94460.3125
1659064665.1714778,42009,97608.5859375
1659064807.6407719,43004,97601.109375
1659064951.463366,44003,97601.1640625
1659065098.0568056,45001,96061.9140625
1659065242.1910968,46004,93734.46875
1659065385.0704155,47004,95265.171875
1659065525.971777,48006,96850.984375
1659065667.440673,49003,95288.28125
1659065803.6207788,50003,94492.0625
1659065940.9431257,51004,92890.453125
1659066079.5966587,52008,93655.5625
1659066217.020158,53009,94444.265625
1659066347.2701757,54003,96006.828125
1659066476.5272176,55006,91358.484375
1659066596.7152145,56005,87280.5625
1659066709.8634741,57004,90476.546875
1659066819.4150121,58003,86569.5625
1659066929.0908425,59002,84225.2734375
1659067040.418362,60011,88873.625
1659067155.1704493,61003,84999.3046875
1659067272.752274,62008,79475.078125
1659067394.7938118,63006,80959.65625
1659067519.1649566,64004,81772.140625
1659067648.919957,65005,88029.2734375
1659067774.0237303,66004,83389.9140625
1659067895.3839996,67005,75592.390625
1659068015.1595926,68010,74717.75
1659068136.1994464,69004,71717.359375
1659068252.732771,70001,75584.40625
1659068370.203537,71011,69350.484375
1659068484.4946964,72001,75545.40625
1659068609.9011889,73002,70076.265625
1659068744.7964787,74007,82614.421875
1659068886.9203348,75009,88035.78125
1659069030.043611,76007,82645.2890625
1659069177.1646726,77007,85801.640625
1659069319.9980357,78010,88177.359375
1659069462.1908383,79009,85833.4140625
1659069603.7480867,80004,88160.640625
1659069745.1561377,81008,92839.734375
1659069878.933932,82011,91339.96875
1659070018.215445,83011,95214.125
1659070158.1486883,84006,93667.4296875
1659070302.1912313,85001,93674.671875
1659070439.2481592,86009,90518.265625
1659070568.0712337,87004,89775.7890625
1659070693.089876,88010,92072.7109375
1659070821.9857423,89004,87415.7734375
1659070951.4084015,90005,85759.40625
1659071082.5300214,91003,87423.28125
1659071212.935936,92006,83431.59375
1659071340.7563577,93014,81931.0703125
1659071454.0106413,94013,86548.1015625
1659071563.3274965,95004,80305.75
1659071677.4604392,96008,80312.734375
