Wall time,Step,Value
1659059169.957224,3004,92016.953125
1659059307.371969,4001,95242.7890625
1659059444.4850821,5008,95907.359375
1659059581.3084471,6006,92063.890625
1659059720.0580313,7005,94493.25
1659059859.3315754,8002,92907.46875
1659059998.975631,9012,92071.8359375
1659060134.9446754,10006,92954.453125
1659060268.8792405,11012,94470.0234375
1659060404.031232,12002,93673.5625
1659060543.7365968,13006,92141.8984375
1659060679.6848457,14009,90532.4921875
1659060815.20097,15006,91321.7421875
1659060954.2318969,16004,92071.5078125
1659061092.5548298,17003,92110.96875
1659061228.902223,18009,93696.734375
1659061366.4054554,19005,88220.390625
1659061503.121504,20001,93689.59375
1659061642.5275674,21006,91353.5234375
1659061781.1351502,22009,96040.6015625
1659061918.4935665,23010,92095.0390625
1659062055.2917988,24004,91345.3828125
1659062198.7792904,25006,88219.96875
1659062337.3006756,26003,94469.8125
1659062476.8907442,27003,95211.7734375
1659062620.024801,28007,93689.4375
1659062758.7551894,29010,88985.234375
1659062896.258989,30002,90454.828125
1659063036.3071015,31008,91337.109375
1659063175.1176584,32004,96016.7421875
1659063317.1541226,33003,89751.109375
1659063456.46839,34009,93664.96875
1659063594.8171072,35005,95196.25
1659063739.6219215,36009,90578.984375
1659063877.1246612,37004,97594.5390625
1659064017.7183805,38007,95235.9375
1659064157.6477785,39009,95985.1328125
1659064296.8362153,40007,96829.28125
1659064439.785848,41007,95258.625
1659064578.6200802,42005,93664.78125
1659064716.7640827,43007,93664.828125
1659064854.4714274,44008,95266.453125
1659064996.5039623,45008,92915.359375
1659065134.578732,46003,96789.921875
1659065272.6889184,47011,92922.515625
1659065411.0309505,48005,92899.6796875
1659065551.286228,49011,93696.234375
1659065688.251717,50002,94399.640625
1659065827.7958257,51001,93704.140625
1659065966.8072355,52009,96039.6015625
1659066110.0411015,53010,96047.53125
1659066248.1252208,54014,95234.96875
1659066388.388711,55010,95274.015625
1659066529.0458539,56006,92891.890625
1659066673.2468488,57011,94406.859375
1659066812.7948546,58003,94484.96875
1659066954.2460122,59009,92133.5390625
1659067093.198239,60010,92914.8984375
1659067235.3099446,61007,89750.8046875
1659067373.423271,62011,96039.625
1659067508.5133185,63002,92906.703125
1659067646.6891096,64005,89805.1171875
1659067788.1072001,65003,94469.078125
1659067926.647321,66003,94414.9609375
1659068066.218268,67004,93680.015625
1659068205.2618089,68003,95219.28125
1659068345.516077,69003,91367.5703125
1659068484.2723706,70003,92148.8125
1659068622.290762,71007,92164.3046875
1659068761.3771605,72008,96820.578125
1659068903.5152736,73002,95266.1640625
1659069045.0965686,74006,93625.203125
1659069186.3281195,75005,93680.1328125
1659069327.9689827,76010,88937.9609375
1659069470.144643,77010,93711.3125
1659069609.6450508,78001,91367.890625
1659069750.9830344,79009,93719.140625
1659069890.7582188,80005,89797.1015625
1659070034.6091108,81006,91336.5625
1659070173.8377688,82003,93703.84375
1659070313.944859,83010,88226.984375
1659070454.513578,84009,92149.265625
1659070597.2901165,85004,96836.125
1659070739.1206565,86006,98398.6875
1659070879.1213415,87002,96813.15625
1659071022.186243,88003,97570.5390625
1659071165.7616856,89005,98398.546875
1659071303.1664798,90004,91336.2421875
1659071442.800676,91010,95281.890625
1659071582.1688583,92007,95226.7578125
1659071723.4064069,93003,95203.265625
1659071859.465165,94004,91359.546875
1659071997.3759181,95002,92125.2265625
1659072135.7135053,96003,90492.7265625
1659072277.7114744,97009,94468.90625
1659072414.5077002,98006,94422.03125
1659072550.9692032,99001,93711.109375
1659072690.0622172,100002,92906.4296875
1659072832.1588871,101007,96789.3203125
1659072968.9621816,102002,92859.5390625
1659073106.5153885,103001,88992.21875
1659073247.0000248,104005,94453.3125
1659073388.7518382,105007,96750.0859375
1659073525.372655,106006,87375.15625
1659073665.5623488,107006,90554.75
1659073804.3026688,108010,90609.3359375
1659073944.1660216,109007,94453.25
1659074080.9754155,110007,92914.09375
1659074219.1435957,111010,90546.953125
1659074356.582038,112001,91320.5390625
1659074499.3838089,113009,93711.078125
1659074636.548843,114002,91289.4765625
1659074774.751322,115007,93664.109375
1659074913.5948975,116008,93679.734375
1659075055.4937015,117011,89765.765625
1659075195.945416,118009,93656.859375
1659075334.1257312,119006,92898.625
1659075471.7052135,120003,93648.5
1659075615.7662117,121009,97593.796875
1659075754.7858949,122007,92882.7265625
1659075892.5942442,123002,90571.078125
1659076032.691429,124007,91343.84375
1659076174.7954705,125007,91297.53125
1659076315.728749,126010,95203.203125
1659076453.589873,127004,92132.8125
1659076594.4757519,128010,92898.4765625
1659076736.3040304,129011,92891.078125
1659076875.275078,130001,91328.15625
1659077013.5348587,131004,95999.9609375
1659077152.1699898,132007,91382.96875
1659077296.9610171,133007,93664.1015625
1659077436.966991,134003,92899.0
1659077573.7743366,135002,92132.9453125
1659077713.9021335,136005,91320.328125
1659077858.7247653,137005,93671.890625
1659078000.439978,138004,93562.484375
1659078140.6088083,139003,92078.4140625
1659078280.9733286,140002,92867.5078125
1659078421.24246,141005,93648.7578125
1659078560.7460883,142004,92781.484375
1659078700.7030983,143006,91296.875
1659078839.9278548,144009,89789.71875
1659078984.7129586,145011,87274.3125
1659079124.2731133,146009,94437.421875
1659079263.8391116,147010,92055.4765625
1659079401.180978,148002,92101.515625
1659079544.8795767,149005,95226.515625
1659079683.8409567,150006,92148.5
1659079826.6201878,151002,92890.75
1659079971.710478,152010,95210.90625
1659080114.5200658,153009,87438.0625
1659080257.3602743,154005,91281.1875
1659080395.3636956,155010,88976.484375
1659080534.4104402,156005,90515.5703125
1659080678.9529915,157004,95242.140625
1659080818.3429263,158005,92860.2890625
1659080965.1888485,159008,94437.421875
1659081104.7460856,160004,91249.90625
1659081247.7808545,161007,91344.15625
1659081388.7523587,162007,92093.9375
1659081529.5982723,163005,91360.015625
1659081672.3222823,164011,88993.3125
1659081817.3348687,165005,95234.2890625
1659081958.766565,166007,93688.78125
1659082098.639949,167006,92109.40625
1659082240.1736546,168002,92117.546875
1659082386.5055244,169010,87383.671875
1659082525.4862661,170004,96749.890625
1659082667.0782044,171005,89719.3125
1659082808.2943294,172006,94437.375
1659082955.069459,173010,92070.34375
1659083094.2812362,174007,91343.578125
1659083235.5002596,175009,92101.6171875
1659083374.8104362,176008,92148.265625
1659083522.52135,177005,93648.25
1659083663.8005297,178009,90515.453125
1659083804.6011822,179010,92890.6484375
1659083945.124009,180010,93656.1015625
1659084088.7468193,181007,91352.0
1659084228.3361077,182004,94421.765625
1659084369.1776812,183010,95250.046875
1659084509.2724862,184005,91336.015625
1659084655.325817,185009,92867.4375
1659084793.4830406,186007,92078.078125
1659084935.9359705,187008,92101.453125
1659085075.7854097,188005,89773.7109375
1659085219.6618555,189004,87406.171875
1659085358.6023717,190005,86601.7578125
1659085497.853101,191004,91320.6015625
1659085634.3696802,192006,92906.09375
1659085775.436148,193002,92929.59375
1659085913.7016037,194003,92132.6328125
1659086050.3829005,195008,90570.296875
1659086191.9952123,196003,92062.375
1659086334.5466964,197011,92141.078125
1659086476.0013268,198009,92124.859375
1659086614.8444908,199009,91335.8125
1659086752.1752794,200009,91265.53125
1659086891.2914126,201003,85828.046875
1659087030.128359,202003,92078.078125
1659087172.0971944,203008,87398.40625
1659087310.226065,204003,91320.640625
1659087453.7336423,205006,90538.90625
1659087588.846488,206001,87304.59375
1659087728.4537337,207011,92875.046875
1659087866.2876713,208002,85063.40625
1659088004.749711,209004,92835.9296875
1659088140.104255,210002,93649.078125
1659088276.38952,211003,91273.25
1659088414.7366264,212009,93640.4296875
1659088557.833909,213003,92796.6484375
1659088694.4323506,214006,92023.34375
