Wall time,Step,Value
1645973258.6738365,8002,9.960000170394778e-06
1645973277.0863264,9340,9.95499976852443e-06
1645973350.5126162,13019,9.934999980032444e-06
1645973370.721093,14448,9.929999578162096e-06
1645973413.684489,16004,9.919999683916103e-06
1645973432.5909138,17355,9.915000191540457e-06
1645973444.016453,18079,9.90999978967011e-06
1645973490.7259738,20005,9.899999895424116e-06
1645973514.8305776,21738,9.89500040304847e-06
1645973526.2719173,22444,9.890000001178123e-06
1645973537.8651261,23177,9.884999599307775e-06
1645973620.7580361,27577,9.864999810815789e-06
1645973804.7932,36009,9.819999831961468e-06
1645973829.0049844,37681,9.815000339585822e-06
1645973852.9253883,39186,9.805000445339829e-06
1645973915.8403451,42057,9.790000149223488e-06
1645973936.5096512,43541,9.78499974735314e-06
1645973987.365887,45705,9.774999853107147e-06
1645974010.8532908,47123,9.764999958861154e-06
1645974042.566992,48012,9.759999556990806e-06
1645974082.5879362,50743,9.749999662744813e-06
1645974123.8117359,52013,9.73999976849882e-06
1645974146.328597,53584,9.735000276123174e-06
1645974202.2104592,56014,9.719999980006833e-06
1645974219.4657483,57162,9.714999578136485e-06
1645974240.1999426,58619,9.71000008576084e-06
1645974252.1876478,59360,9.704999683890492e-06
1645974281.6469104,60015,9.700000191514846e-06
1645974325.1739104,63045,9.684999895398505e-06
1645974358.155581,64016,9.68000040302286e-06
1645974396.0309875,66725,9.669999599282164e-06
1645974435.979812,68017,9.65999970503617e-06
1645974458.9328651,69678,9.655000212660525e-06
1645974470.9120245,70429,9.649999810790177e-06
1645974482.6898708,71134,9.645000318414532e-06
1645974546.294335,74052,9.63000002229819e-06
1645974567.1195674,75486,9.624999620427843e-06
1645974595.759917,76019,9.620000128052197e-06
1645974618.6093278,77634,9.61499972618185e-06
1645974642.5239918,79045,9.604999831935856e-06
1645974704.8897278,82006,9.590000445314217e-06
1645974799.3516295,87113,9.565000254951883e-06
1645974832.0884705,88022,9.559999853081536e-06
1645974850.2459967,89287,9.55500036070589e-06
1645974861.9500432,90026,9.549999958835542e-06
1645974882.2941213,91432,9.544999556965195e-06
1645974911.4854746,92023,9.540000064589549e-06
1645975009.0831392,97262,9.514999874227215e-06
1645975167.4649985,105327,9.475000297243241e-06
1645975227.3028336,108027,9.4600000011269e-06
1645975249.505496,109618,9.454999599256553e-06
1645975383.2720048,116029,9.420000424142927e-06
1645975428.2404,119015,9.405000128026586e-06
1645975478.7677891,121159,9.395000233780593e-06
1645975499.0878558,122599,9.389999831910245e-06
1645975510.9852831,123328,9.3850003395346e-06
1645975594.267621,127730,9.364999641547911e-06
1645975619.852549,128032,9.360000149172265e-06
1645975636.6447399,129245,9.354999747301918e-06
1645975698.5438237,132033,9.340000360680278e-06
1645975720.2496955,133577,9.33499995880993e-06
1645975777.5102837,136034,9.31999966269359e-06
1645975855.768881,140035,9.299999874201603e-06
1645975888.8046167,142333,9.28999997995561e-06
1645975933.4654598,144036,9.280000085709617e-06
1645975950.9551098,145246,9.274999683839269e-06
1645975971.3090696,146723,9.270000191463623e-06
1645975982.7588806,147460,9.264999789593276e-06
1645976055.4454272,151197,9.245000001101289e-06
1645976105.3342006,153360,9.235000106855296e-06
1645976164.9243665,156039,9.219999810738955e-06
1645976187.280566,157691,9.215000318363309e-06
1645976198.9025185,158420,9.209999916492961e-06
1645976243.2833962,160040,9.200000022246968e-06
1645976261.7804537,161384,9.19499962037662e-06
1645976273.2674763,162124,9.190000128000975e-06
1645976335.3056614,165060,9.174999831884634e-06
1645976367.1558537,167205,9.16499993763864e-06
1645976399.4772892,168042,9.160000445262995e-06
1645976437.9188435,170709,9.1499996415223e-06
1645976449.4138956,171367,9.145000149146654e-06
1645976511.6868722,174341,9.129999853030313e-06
1645976605.652884,179345,9.104999662667979e-06
1645976635.2999232,180045,9.100000170292333e-06
1645976656.3348553,181538,9.094999768421985e-06
1645976688.1276076,183682,9.084999874175992e-06
1645976713.8397295,184046,9.080000381800346e-06
1645976750.5015428,186636,9.069999578059651e-06
1645976791.2150817,188047,9.059999683813658e-06
1645976812.3456595,189609,9.055000191438012e-06
1645976823.5371408,190326,9.049999789567664e-06
1645976835.1312945,191055,9.045000297192018e-06
1645976885.8580441,193262,9.035000402946025e-06
1645976897.3925517,194047,9.030000001075678e-06
1645977043.6489167,201281,8.99499991646735e-06
1645977118.5339272,205024,8.975000127975363e-06
1645977202.0509586,209343,8.955000339483377e-06
1645977213.4962988,210030,8.949999937613029e-06
1645977233.5588925,211426,8.945000445237383e-06
1645977308.1058726,215078,8.924999747250695e-06
1645977379.995635,218673,8.910000360629056e-06
1645977443.7304702,221601,8.895000064512715e-06
1645977455.22396,222307,8.889999662642367e-06
1645977518.6571891,225262,8.875000276020728e-06
1645977530.2430184,226014,8.86999987415038e-06
1645977579.5966609,228057,8.859999979904387e-06
1645977601.2985828,229615,8.85499957803404e-06
1645977612.6970322,230343,8.850000085658394e-06
1645977658.3670626,232058,8.8400001914124e-06
1645977674.6052294,233171,8.834999789542053e-06
1645977705.8478796,235370,8.82499989529606e-06
1645977735.4420433,236059,8.820000402920414e-06
1645977755.8003182,237486,8.815000001050066e-06
1645977813.2430456,240060,8.799999704933725e-06
1645977860.3250606,243272,8.785000318312086e-06
1645977970.6864028,248062,8.760000127949752e-06
1645978005.988309,250551,8.750000233703759e-06
1645978029.3955958,252027,8.740000339457765e-06
1645978069.20889,253477,8.734999937587418e-06
1645978165.1444879,258683,8.709999747225083e-06
1645978227.4774065,261603,8.695000360603444e-06
1645978239.0257654,262379,8.689999958733097e-06
1645978250.6209345,263117,8.68499955686275e-06
1645978284.5372913,264066,8.680000064487103e-06
1645978321.7560139,266705,8.67000017024111e-06
1645978395.7900229,270430,8.650000381749123e-06
1645978439.5114582,272068,8.639999578008428e-06
1645978471.8525813,274068,8.629999683762435e-06
