,wip_size,ave_utilization,cmax_rel_flow_time,flow_time_rel_d_ave,seed,t
0,2,0.1811722912966252,0.9751332149200712,0.9298916020650388,1270,563.0
1,2,0.1726172465960665,0.9107413010590016,0.9523449319213312,6223,661.0
2,2,0.13125,0.924278846153846,0.7117001933972543,8470,832.0
3,2,0.1157946692991115,0.9264560710760118,0.6298752787832255,9695,1013.0
4,2,0.1231372549019607,0.9975490196078431,0.6170747609388583,1793,1020.0
5,2,0.1665610142630744,0.9984152139461172,0.8341076697094223,9349,631.0
6,2,0.1981916817359855,0.9909584086799276,1.0,3984,553.0
7,2,0.1329741379310345,0.9364224137931034,0.7082761281396339,4467,928.0
8,2,0.1274087932647334,0.9195509822263798,0.6981206453691914,487,1069.0
9,2,0.1539660056657223,0.9454674220963172,0.816126366326333,8452,706.0
10,2,0.1651202749140893,0.9699312714776632,0.8540209954955804,2953,582.0
11,2,0.1651202749140893,0.9699312714776632,0.8540209954955804,9391,582.0
12,2,0.1731258840169731,0.8988684582743989,0.9629954256823858,9428,707.0
13,2,0.1367579908675799,0.9560502283105022,0.7122280419016922,4973,876.0
14,2,0.1731258840169731,0.8988684582743989,0.9629954256823858,4087,707.0
15,2,0.1274087932647334,0.9195509822263798,0.6981206453691914,6893,1069.0
16,2,0.1841137123745819,0.9381270903010034,0.9799618320610688,8669,598.0
17,2,0.1500651890482399,0.997392438070404,0.7523696176316297,9787,767.0
18,2,0.1731258840169731,0.8988684582743989,0.9629954256823858,3278,707.0
19,2,0.1615279672578445,0.8935879945429741,0.9004045481521064,1694,733.0
20,4,0.2378555798687089,0.8610503282275711,0.6965912566369069,1270,914.0
21,4,0.2546549835706462,0.8313253012048193,0.7800333200667712,6223,913.0
22,4,0.2303879310344827,0.8006465517241379,0.7377926450151481,8470,928.0
23,4,0.2009760425909494,0.7943655723158829,0.6600108272355224,9695,1127.0
24,4,0.2214785214785214,0.776973026973027,0.7316193030200608,1793,1001.0
25,4,0.2397107897664071,0.775027808676307,0.7919867072637022,9349,899.0
26,4,0.2545238095238095,0.8446428571428571,0.7571656083865455,3984,840.0
27,4,0.2357749469214437,0.7975053078556263,0.7485768231447832,4467,942.0
28,4,0.2388888888888889,0.8354885057471264,0.7250127800896127,487,1044.0
29,4,0.2538888888888889,0.8436111111111111,0.761895280765092,8452,900.0
30,4,0.2658108108108108,0.9013513513513514,0.7457849730688492,2953,740.0
31,4,0.2402015677491601,0.8555431131019037,0.6981186004452725,9391,893.0
32,4,0.2546549835706462,0.8313253012048193,0.7800333200667712,9428,913.0
33,4,0.2591121495327103,0.9097546728971962,0.7142347115746102,4973,856.0
34,4,0.273728813559322,0.8480629539951574,0.8116560884719656,4087,826.0
35,4,0.2233480176211453,0.8220264317180617,0.6962736614287384,6893,1135.0
36,4,0.2671550671550671,0.8681318681318682,0.783987789669802,8669,819.0
37,4,0.2545238095238095,0.8446428571428571,0.7571656083865455,9787,840.0
38,4,0.233695652173913,0.8609189723320159,0.6811450532209972,3278,1012.0
39,4,0.2928104575163399,0.8862745098039215,0.8368029670604429,1694,765.0
40,6,0.2889487870619946,0.7303084755914945,0.6812327020498706,1270,1113.0
41,6,0.3457609805924412,0.8077970718420157,0.7208518553756361,6223,979.0
42,6,0.2782152230971129,0.7315543890347039,0.6505191086017136,8470,1143.0
43,6,0.2834188034188034,0.76994301994302,0.6310475363200739,9695,1170.0
44,6,0.29702434625789,0.756687706642621,0.6671380730246929,1793,1109.0
45,6,0.3186952288218111,0.7648490749756572,0.720200315655278,9349,1027.0
46,6,0.3089511754068716,0.7578360458107293,0.6968063210072858,3984,1106.0
47,6,0.3706145251396648,0.9085661080074487,0.6894196017697626,4467,895.0
48,6,0.3584615384615385,0.8322115384615385,0.7251363440010966,487,1040.0
49,6,0.3581124072110286,0.879462707670555,0.696239570249589,8452,943.0
50,6,0.3210743801652893,0.8181818181818182,0.6574762796436309,2953,968.0
51,6,0.3654444444444444,0.8705555555555555,0.7073308920558343,9391,900.0
52,6,0.333086876155268,0.7888170055452866,0.7214582886972788,9428,1082.0
53,6,0.3523704520396913,0.8509739066519663,0.6910455967854047,4973,907.0
54,6,0.3437,0.8125,0.7186534040071749,4087,1000.0
55,6,0.3393738140417457,0.793168880455408,0.7240679221279599,6893,1054.0
56,6,0.3579481397970688,0.8220593761743705,0.729389625045432,8669,887.0
57,6,0.2769298245614035,0.7190058479532163,0.6686573211117542,9787,1140.0
58,6,0.3411282051282051,0.8348717948717949,0.6854512016891259,3278,975.0
59,6,0.3486542443064182,0.8438578329882678,0.6885711365200944,1694,966.0
60,8,0.3914972273567468,0.7999075785582255,0.6181624625941248,1270,1082.0
61,8,0.428,0.8078571428571428,0.6773879514566368,6223,1050.0
62,8,0.3935875216637781,0.7849870017331022,0.6406208331806549,8470,1154.0
63,8,0.3616504854368932,0.7494943365695793,0.6237228737829372,9695,1236.0
64,8,0.363047138047138,0.7383207070707071,0.6311234008869978,1793,1188.0
65,8,0.3799134199134199,0.7847402597402597,0.6250535229432277,9349,1155.0
66,8,0.3682085786375105,0.7565180824222035,0.619000891871408,3984,1189.0
67,8,0.3760425183973834,0.7292518397383483,0.6639074832889817,4467,1223.0
68,8,0.4474953617810761,0.8397495361781077,0.6774380149765169,487,1078.0
69,8,0.416093023255814,0.7994186046511628,0.6627847602353396,8452,1075.0
70,8,0.4234746639089969,0.8647880041365047,0.6155404175898845,2953,967.0
71,8,0.3590720795360397,0.7043289146644574,0.6675316027299298,9391,1207.0
72,8,0.4249090909090909,0.8126136363636364,0.6702260549161477,9428,1100.0
73,8,0.4177238805970149,0.8138992537313433,0.6498385988899125,4973,1072.0
74,8,0.3949006050129645,0.7472990492653414,0.6840709235451417,4087,1157.0
75,8,0.4332456140350877,0.8235745614035088,0.6696973102186969,6893,1140.0
76,8,0.4274590163934426,0.8165983606557377,0.6608218373036296,8669,976.0
77,8,0.3403662420382166,0.7363654458598726,0.5951874650869231,9787,1256.0
78,8,0.3999999999999999,0.7851985559566786,0.6409829178803708,3278,1108.0
79,8,0.4055605381165919,0.785762331838565,0.6586886795880548,1694,1115.0
80,10,0.4576300085251492,0.7527706734867861,0.6162688948477919,1270,1173.0
81,10,0.4797639123102867,0.800337268128162,0.6126027504095035,6223,1186.0
82,10,0.5181407942238268,0.8669675090252708,0.6082752793515235,8470,1108.0
83,10,0.4316653635652854,0.7388584831899921,0.6002214395660331,9695,1279.0
84,10,0.452946127946128,0.7148989898989898,0.6514104982775643,1793,1188.0
85,10,0.4002181818181818,0.7044363636363636,0.5872487220409965,9349,1375.0
