,wip_size,ave_utilization,cmax_rel_flow_time,flow_time_rel_d_ave,seed,t
0,2,0.1792618629173989,0.9420035149384886,0.954305799648506,1270,569.0
1,2,0.1805379746835443,0.9295886075949368,0.9731012658227848,6223,632.0
2,2,0.1873070325900514,0.9931389365351628,0.9433962264150944,8470,583.0
3,2,0.1961538461538461,0.9807692307692308,1.0,9695,598.0
4,2,0.1844346549192364,0.9662261380323054,0.952755905511811,1793,681.0
5,2,0.1876785714285714,0.9767857142857144,0.9616071428571428,9349,560.0
6,2,0.1759229534510433,0.9357945425361156,0.9438202247191012,3984,623.0
7,2,0.1788405797101449,0.9934782608695653,0.9007246376811594,4467,690.0
8,2,0.175064267352185,0.9376606683804628,0.9376606683804628,487,778.0
9,2,0.1779050736497545,0.936988543371522,0.9525368248772504,8452,611.0
10,2,0.185880077369439,0.9564796905222436,0.9703389830508476,2953,517.0
11,2,0.185880077369439,0.9564796905222436,0.9703389830508476,9391,517.0
12,2,0.1784256559766764,0.8957725947521866,0.9963556851311952,9428,686.0
13,2,0.1759177679882525,0.9794419970631424,0.895865237366003,4973,681.0
14,2,0.1784256559766764,0.8957725947521866,0.9963556851311952,4087,686.0
15,2,0.175064267352185,0.9376606683804628,0.9376606683804628,6893,778.0
16,2,0.1841137123745819,0.9247491638795988,0.9950787401574804,8669,598.0
17,2,0.1905629139072847,0.9950331125827816,0.9577814569536424,9787,604.0
18,2,0.1784256559766764,0.8957725947521866,0.9963556851311952,3278,686.0
19,2,0.1523809523809524,0.954954954954955,0.8052932706398053,1694,777.0
20,4,0.268395061728395,0.8598765432098765,0.8017537461256641,1270,810.0
21,4,0.2992277992277992,0.8651866151866152,0.8784774510298724,6223,777.0
22,4,0.318628912071535,0.9310730253353204,0.8601233966909045,8470,671.0
23,4,0.3106995884773662,0.9200960219478738,0.8520688615129249,9695,729.0
24,4,0.274721189591078,0.7967781908302355,0.8777638939112125,1793,807.0
25,4,0.3123188405797101,0.9130434782608696,0.8602929994269216,9349,690.0
26,4,0.3274119448698315,0.9153905053598776,0.8931493910061001,3984,653.0
27,4,0.2679131483715319,0.7605548854041013,0.8873454924316055,4467,829.0
28,4,0.2993997599039616,0.865546218487395,0.8657155702950025,487,833.0
29,4,0.2505482456140351,0.7642543859649122,0.8374947088302825,8452,912.0
30,4,0.2863173216885007,0.8522561863173217,0.8494620146732913,2953,687.0
31,4,0.2375415282392026,0.7297895902547066,0.8251778185633867,9391,903.0
32,4,0.2992277992277992,0.8651866151866152,0.8784774510298724,9428,777.0
33,4,0.2570104287369641,0.8186558516801854,0.8078775073650095,4973,863.0
34,4,0.2862025316455696,0.8414556962025317,0.8504103561829591,4087,790.0
35,4,0.2923875432525951,0.9013840830449829,0.8190995995436043,6893,867.0
36,4,0.3290225563909774,0.9458646616541352,0.8733098701732285,8669,665.0
37,4,0.3274119448698315,0.9153905053598776,0.8931493910061001,9787,653.0
38,4,0.2877128953771289,0.871654501216545,0.8378282863943475,3278,822.0
39,4,0.2488888888888888,0.9272222222222222,0.6803537057577385,1694,900.0
40,6,0.3912408759124088,0.8611111111111112,0.7701581328499304,1270,822.0
41,6,0.3507772020725389,0.8312607944732296,0.7170433711955843,6223,965.0
42,6,0.4257028112449799,0.9105310129406514,0.7878719560216553,8470,747.0
43,6,0.3776765375854214,0.8244115413819286,0.77345891159915,9695,878.0
44,6,0.366,0.8512962962962962,0.7264210094902838,1793,900.0
45,6,0.3656983240223463,0.7957169459962755,0.7804563122741249,9349,895.0
46,6,0.3462006079027355,0.7372509287402904,0.8010956450924268,3984,987.0
47,6,0.3897767332549941,0.81864473168821,0.8033230917500073,4467,851.0
48,6,0.362293488824101,0.7703271784904437,0.7966960965603361,487,1029.0
49,6,0.3404233870967741,0.7914986559139785,0.7429675901816329,8452,992.0
50,6,0.4020698576972833,0.8917636912462269,0.7636961639948389,2953,773.0
51,6,0.329889669007021,0.729856235372785,0.7752220402373281,9391,997.0
52,6,0.4049438202247191,0.8580524344569288,0.793184976371947,9428,890.0
53,6,0.3578947368421052,0.8004852556924226,0.7572945649583521,4973,893.0
54,6,0.3606505771248688,0.8114725428471494,0.7632975838425823,4087,953.0
55,6,0.3825668449197861,0.8450980392156863,0.7569461992524058,6893,935.0
56,6,0.3919753086419753,0.8578189300411523,0.7756335789022266,8669,810.0
57,6,0.384531059683313,0.8268371904181893,0.7801787891361275,9787,821.0
58,6,0.3890058479532164,0.847953216374269,0.7758664964866478,3278,855.0
59,6,0.3440245148110317,0.8816819884235614,0.6621110381733345,1694,979.0
60,8,0.4594360086767896,0.8352765726681128,0.7072500370538433,1270,922.0
61,8,0.4271863117870722,0.7930133079847909,0.6914447695780387,6223,1052.0
62,8,0.4388405797101449,0.825,0.673494790043615,8470,1035.0
63,8,0.4412635735439289,0.8105873642645607,0.7006008003550216,9695,1013.0
64,8,0.4179263565891473,0.7846414728682171,0.6845494153286265,1793,1032.0
65,8,0.445482233502538,0.832994923857868,0.6825166487162959,9349,985.0
66,8,0.3836985100788782,0.7707055214723927,0.6509497769324832,3984,1141.0
67,8,0.3845317725752508,0.7281563545150501,0.6757983079938011,4467,1196.0
68,8,0.4213100436681222,0.7468340611353712,0.7236660358988671,487,1145.0
69,8,0.4134011090573013,0.8291358595194085,0.639859896566966,8452,1082.0
70,8,0.4403225806451613,0.8095430107526882,0.6987384460914408,2953,930.0
71,8,0.3736206896551723,0.6980603448275862,0.6912603953498672,9391,1160.0
72,8,0.4380506091846298,0.801194939081537,0.6953794621639835,9428,1067.0
73,8,0.3867012089810017,0.7303540587219344,0.683684623385977,4973,1158.0
74,8,0.4789308176100628,0.8415880503144654,0.7279072316921621,4087,954.0
75,8,0.4078447563996696,0.7761147811725846,0.6780643932210725,6893,1211.0
76,8,0.4066276803118908,0.7529239766081871,0.695646634871464,8669,1026.0
77,8,0.4266467065868263,0.7902944111776448,0.6937130722599927,9787,1002.0
78,8,0.4177191328934967,0.7554194156456173,0.7066933831324667,3278,1061.0
79,8,0.3881545064377682,0.8254291845493562,0.609595636283584,1694,1165.0
80,10,0.511725452812202,0.8108674928503337,0.6469537242923457,1270,1049.0
81,10,0.4644897959183673,0.7462040816326531,0.6470400780208999,6223,1225.0
82,10,0.4392501912777353,0.7083397092578424,0.6419592664564558,8470,1307.0
83,10,0.5074448529411765,0.8193933823529411,0.6466303150845965,9695,1088.0
84,10,0.4385493072534637,0.7422167889160555,0.6139239898238134,1793,1227.0
85,10,0.483567662565905,0.7873462214411248,0.6362379677736807,9349,1138.0
86,10,0.4317572892040976,0.7434988179669031,0.6008074099219292,3984,1269.0
87,10,0.4476592478894857,0.7486569455103607,0.6298905406693777,4467,1303.0
88,10,0.4836734693877551,0.7413877551020408,0.6641001451226101,487,1225.0
89,10,0.4607172643869891,0.781651376146789,0.6174648434336452,8452,1199.0
90,10,0.4819687212511499,0.7892364305427783,0.62652299680452,2953,1087.0
91,10,0.4264705882352941,0.6883126934984519,0.6486025344375413,9391,1292.0
92,10,0.5099820143884892,0.8165467625899281,0.646231915416836,9428,1112.0
93,10,0.4234138972809668,0.7021148036253777,0.6311695396803516,4973,1324.0
94,10,0.4807787903893951,0.7555095277547639,0.6490852223618371,4087,1207.0
95,10,0.448,0.7239245283018868,0.6485815740082443,6893,1325.0
96,10,0.4767713004484305,0.8136322869955157,0.594872708178001,8669,1115.0
97,10,0.4618760757314974,0.7429432013769363,0.6454547399653433,9787,1162.0
98,10,0.5124651162790698,0.8803720930232558,0.590617163466738,3278,1075.0
99,10,0.4299613899613899,0.7760617760617761,0.5840242012970223,1694,1295.0
100,12,0.4908748114630467,0.7193313222724987,0.5880020757869634,1270,1326.0
101,12,0.5045624532535528,0.7390301670406383,0.5936719203240021,6223,1337.0
102,12,0.5011119347664937,0.7201013096120583,0.6060336636096525,8470,1349.0
103,12,0.5147791164658634,0.7491298527443105,0.5962327591436748,9695,1245.0
104,12,0.4979230769230769,0.7508333333333334,0.5799844275497494,1793,1300.0
105,12,0.5281323877068558,0.7752167060677699,0.5850961734307387,9349,1269.0
106,12,0.4775451263537906,0.7140794223826715,0.5769469917224094,3984,1385.0
